Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_seconds,Sector1Time_seconds,Sector2Time_seconds,Sector3Time_seconds,LapStartTime_seconds,PitInTime_seconds,PitOutTime_seconds,Sector1SessionTime_seconds,Sector2SessionTime_seconds,Sector3SessionTime_seconds
0 days 01:47:46.365000,VER,1,0 days 00:01:27.909000,33.0,2.0,,,0 days 00:00:17.659000,0 days 00:00:38.100000,0 days 00:00:32.150000,0 days 01:46:36.190000,0 days 01:47:14.290000,0 days 01:47:46.440000,285.0,299.0,214.0,303.0,False,HARD,10.0,True,Red Bull Racing,0 days 01:46:18.456000,2025-12-07 13:51:25.519,1,2.0,False,,False,True,87.909,17.659,38.1,32.15,6378.456,,,6396.19,6434.29,6466.44
0 days 01:49:14.289000,VER,1,0 days 00:01:27.924000,34.0,2.0,,,0 days 00:00:17.609000,0 days 00:00:38.255000,0 days 00:00:32.060000,0 days 01:48:04.049000,0 days 01:48:42.304000,0 days 01:49:14.364000,,298.0,214.0,302.0,False,HARD,11.0,True,Red Bull Racing,0 days 01:47:46.365000,2025-12-07 13:52:53.428,1,2.0,False,,False,True,87.924,17.609,38.255,32.06,6466.365,,,6484.049,6522.304,6554.364
0 days 01:50:42.270000,VER,1,0 days 00:01:27.981000,35.0,2.0,,,0 days 00:00:17.602000,0 days 00:00:38.119000,0 days 00:00:32.260000,0 days 01:49:31.966000,0 days 01:50:10.085000,0 days 01:50:42.345000,287.0,298.0,213.0,303.0,False,HARD,12.0,True,Red Bull Racing,0 days 01:49:14.289000,2025-12-07 13:54:21.352,1,2.0,False,,False,True,87.981,17.602,38.119,32.26,6554.289,,,6571.966,6610.085,6642.345
0 days 01:52:10.080000,VER,1,0 days 00:01:27.810000,36.0,2.0,,,0 days 00:00:17.632000,0 days 00:00:38.041000,0 days 00:00:32.137000,0 days 01:50:59.977000,0 days 01:51:38.018000,0 days 01:52:10.155000,286.0,300.0,214.0,304.0,False,HARD,13.0,True,Red Bull Racing,0 days 01:50:42.270000,2025-12-07 13:55:49.333,1,2.0,False,,False,True,87.81,17.632,38.041,32.137,6642.27,,,6659.977,6698.018,6730.155
0 days 01:53:37.825000,VER,1,0 days 00:01:27.745000,37.0,2.0,,,0 days 00:00:17.557000,0 days 00:00:38.156000,0 days 00:00:32.032000,0 days 01:52:27.712000,0 days 01:53:05.868000,0 days 01:53:37.900000,287.0,298.0,212.0,304.0,True,HARD,14.0,True,Red Bull Racing,0 days 01:52:10.080000,2025-12-07 13:57:17.143,1,2.0,False,,False,True,87.745,17.557,38.156,32.032,6730.08,,,6747.712,6785.868,6817.9
0 days 01:55:05.576000,VER,1,0 days 00:01:27.751000,38.0,2.0,,,0 days 00:00:17.575000,0 days 00:00:38.148000,0 days 00:00:32.028000,0 days 01:53:55.475000,0 days 01:54:33.623000,0 days 01:55:05.651000,288.0,299.0,213.0,304.0,False,HARD,15.0,True,Red Bull Racing,0 days 01:53:37.825000,2025-12-07 13:58:44.888,1,2.0,False,,False,True,87.751,17.575,38.148,32.028,6817.825,,,6835.475,6873.623,6905.651
0 days 01:56:33.201000,VER,1,0 days 00:01:27.625000,39.0,2.0,,,0 days 00:00:17.510000,0 days 00:00:38.035000,0 days 00:00:32.080000,0 days 01:55:23.161000,0 days 01:56:01.196000,0 days 01:56:33.276000,289.0,300.0,213.0,305.0,True,HARD,16.0,True,Red Bull Racing,0 days 01:55:05.576000,2025-12-07 14:00:12.639,1,2.0,False,,False,True,87.625,17.51,38.035,32.08,6905.576,,,6923.161,6961.196,6993.276
0 days 01:58:01.343000,VER,1,0 days 00:01:28.142000,40.0,2.0,,,0 days 00:00:17.583000,0 days 00:00:38.257000,0 days 00:00:32.302000,0 days 01:56:50.859000,0 days 01:57:29.116000,0 days 01:58:01.418000,,299.0,213.0,308.0,False,HARD,17.0,True,Red Bull Racing,0 days 01:56:33.201000,2025-12-07 14:01:40.264,1,2.0,False,,False,True,88.142,17.583,38.257,32.302,6993.201,,,7010.859,7049.116,7081.418
0 days 01:59:29.316000,VER,1,0 days 00:01:27.973000,41.0,2.0,,,0 days 00:00:17.673000,0 days 00:00:38.052000,0 days 00:00:32.248000,0 days 01:58:19.091000,0 days 01:58:57.143000,0 days 01:59:29.391000,295.0,297.0,213.0,335.0,False,HARD,18.0,True,Red Bull Racing,0 days 01:58:01.343000,2025-12-07 14:03:08.406,1,1.0,False,,False,True,87.973,17.673,38.052,32.248,7081.343,,,7099.091,7137.143,7169.391
0 days 02:00:57.536000,VER,1,0 days 00:01:28.220000,42.0,2.0,,,0 days 00:00:17.584000,0 days 00:00:38.400000,0 days 00:00:32.236000,0 days 01:59:46.975000,0 days 02:00:25.375000,0 days 02:00:57.611000,284.0,295.0,215.0,303.0,False,HARD,19.0,True,Red Bull Racing,0 days 01:59:29.316000,2025-12-07 14:04:36.379,1,1.0,False,,False,True,88.22,17.584,38.4,32.236,7169.316,,,7186.975,7225.375,7257.611
